Ano,Presidente,Partido
1994,Fernando Henrique Cardoso,PSDB
1995,Fernando Henrique Cardoso,PSDB
1996,Fernando Henrique Cardoso,PSDB
1997,Fernando Henrique Cardoso,PSDB
1998,Fernando Henrique Cardoso,PSDB
1999,Fernando Henrique Cardoso,PSDB
2000,Fernando Henrique Cardoso,PSDB
2001,Fernando Henrique Cardoso,PSDB
2002,Luiz Inácio Lula da Silva,PT
2003,Luiz Inácio Lula da Silva,PT
2004,Luiz Inácio Lula da Silva,PT
2005,Luiz Inácio Lula da Silva,PT
2006,Luiz Inácio Lula da Silva,PT
2007,Luiz Inácio Lula da Silva,PT
2008,Luiz Inácio Lula da Silva,PT
2009,Luiz Inácio Lula da Silva,PT
2010,Dilma Vana Rousseff,PT
2011,Dilma Vana Rousseff,PT
2012,Dilma Vana Rousseff,PT
2013,Dilma Vana Rousseff,PT
2014,Dilma Vana Rousseff,PT
2015,Dilma Vana Rousseff,PT
2016,Dilma Vana Rousseff,PT
2017,Dilma Vana Rousseff,PT
2018,Jair Messias Bolsonaro,PSL
2019,Jair Messias Bolsonaro,PSL
2020,Jair Messias Bolsonaro,PSL
2021,Jair Messias Bolsonaro,PSL
2022,Luiz Inácio Lula da Silva,PT
